2015-03-31 07:50:11.130+0000 INFO  [org.neo4j]: Successfully shutdown Neo Server on port [7474], database [unknown location]
2015-03-31 07:51:44.578+0000 INFO  [org.neo4j]: Successfully shutdown Neo Server on port [7474], database [unknown location]
2015-03-31 07:55:11.263+0000 INFO  [org.neo4j]: Successfully shutdown Neo Server on port [7474], database [unknown location]
2015-03-31 07:55:57.535+0000 INFO  [org.neo4j]: Successfully shutdown Neo Server on port [7474], database [unknown location]
2015-03-31 07:56:18.665+0000 INFO  [org.neo4j]: Successfully shutdown Neo Server on port [7474], database [unknown location]
2015-03-31 07:57:51.672+0000 INFO  [org.neo4j]: Successfully shutdown Neo Server on port [7474], database [unknown location]
2015-03-31 08:10:39.269+0000 INFO  [org.neo4j]: Successfully shutdown Neo Server on port [7474], database [unknown location]
2015-03-31 08:11:50.331+0000 INFO  [org.neo4j]: Successfully shutdown Neo Server on port [7474], database [unknown location]
2015-03-31 08:15:57.765+0000 INFO  [org.neo4j]: Successfully shutdown Neo Server on port [7474], database [unknown location]
